AJG39202,RNA-dependent RNA polymerase ,Wuhan Louse Fly Virus 8,2145,Sigmavirus-like,,,,,,,,,,
AJG39203,nucleocapsid ,Wuhan Louse Fly Virus 9,444,Sigmavirus-like,,,,,,,,,,
AJG39204,putative phosphoprotein ,Wuhan Louse Fly Virus 9,260,Sigmavirus-like,,,,,,,,,,
AJG39205,matrix protein ,Wuhan Louse Fly Virus 9,218,Sigmavirus-like,,,,,,,,,,
AJG39206,glycoprotein ,Wuhan Louse Fly Virus 9,537,Sigmavirus-like,,,,,,,,,,
AJG39207,RNA-dependent RNA polymerase ,Wuhan Louse Fly Virus 9,2145,Sigmavirus-like,,,,,,,,,,
AJG39260,RNA-dependent RNA polymerase ,Wuhan Horsefly Virus,3117,Tenuivirus-like,,,,,,,,,,
AJG39293,glycoprotein precursor ,Wuhan Horsefly Virus,818,Tenuivirus-like,,,,,,,,,,
AJG39321,nonstructural protein ,Wuhan Horsefly Virus,359,Tenuivirus-like,,,,,,,,,,
AJG39322,nucleocapsid protein ,Wuhan Horsefly Virus,453,Tenuivirus-like,,,,,,,,,,
AJG39098,nucleocapsid ,Bole Tick Virus 2,485,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39099,putative phosphoprotein ,Bole Tick Virus 2,255,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39100,matrix protein ,Bole Tick Virus 2,279,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39101,glycoprotein ,Bole Tick Virus 2,513,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39102,RNA-dependent RNA polymerase ,Bole Tick Virus 2,2171,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39103,nucleocapsid ,Huangpi Tick Virus 3,486,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39104,putative phosphoprotein ,Huangpi Tick Virus 3,395,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39105,putative matrix protein ,Huangpi Tick Virus 3,272,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39106,glycoprotein ,Huangpi Tick Virus 3,528,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39107,RNA-dependent RNA polymerase ,Huangpi Tick Virus 3,2193,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39137,ORF1 ,Tacheng Tick Virus 3,208,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39138,RNA-dependent RNA polymerase ,Tacheng Tick Virus 3,2182,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39149,nucleocapsid ,Taishun Tick Virus,470,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39150,ORF2 ,Taishun Tick Virus,488,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39151,RNA-dependent RNA polymerase ,Taishun Tick Virus,2226,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39192,nucleocapsid ,Wuhan Insect virus 7,425,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39193,putative phosphoprotein ,Wuhan Insect virus 7,275,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39194,matrix protein ,Wuhan Insect virus 7,212,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39195,glycoprotein ,Wuhan Insect virus 7,522,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39196,RNA-dependent RNA polymerase ,Wuhan Insect virus 7,2120,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39220,nucleocapsid ,Wuhan Tick Virus 1,488,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39221,ORF2 ,Wuhan Tick Virus 1,363,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39222,ORF3 ,Wuhan Tick Virus 1,203,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39223,RNA-dependent RNA polymerase ,Wuhan Tick Virus 1,2191,unclassified Dimarhabdovirus,,,,,,,,,,
AJG39109,ORF1 ,Lishi Spider Virus 2,567,unclassified Mononegavirus,,,,,,,,,,
AJG39110,ORF2 ,Lishi Spider Virus 2,276,unclassified Mononegavirus,,,,,,,,,,
AJG39111,RNA-dependent RNA polymerase ,Lishi Spider Virus 2,2201,unclassified Mononegavirus,,,,,,,,,,
AJG39112,ORF1 ,Sanxia Water Strider Virus 4,408,unclassified Mononegavirus,,,,,,,,,,
AJG39113,ORF2 ,Sanxia Water Strider Virus 4,433,unclassified Mononegavirus,,,,,,,,,,
AJG39114,glycoprotein ,Sanxia Water Strider Virus 4,540,unclassified Mononegavirus,,,,,,,,,,
AJG39115,RNA-dependent RNA polymerase ,Sanxia Water Strider Virus 4,2108,unclassified Mononegavirus,,,,,,,,,,
AJG39135,"RNA-dependent RNA polymerase, partial ",Shuangao Fly Virus 2,1966,unclassified Mononegavirus,,,,,,,,,,
AJG39139,ORF1 ,Tacheng Tick Virus 6,458,unclassified Mononegavirus,,,,,,,,,,
AJG39140,ORF2 ,Tacheng Tick Virus 6,273,unclassified Mononegavirus,,,,,,,,,,
AJG39141,ORF3 ,Tacheng Tick Virus 6,216,unclassified Mononegavirus,,,,,,,,,,
AJG39142,RNA-dependent RNA polymerase ,Tacheng Tick Virus 6,2083,unclassified Mononegavirus,,,,,,,,,,
AJG39152,nucleocapsid ,Wenzhou Crab Virus 1,364,unclassified Mononegavirus,,,,,,,,,,
AJG39153,glycoprotein ,Wenzhou Crab Virus 1,512,unclassified Mononegavirus,,,,,,,,,,
AJG39154,RNA-dependent RNA polymerase ,Wenzhou Crab Virus 1,1807,unclassified Mononegavirus,,,,,,,,,,
AJG39224,ORF1 ,Xincheng Mosquito Virus,462,unclassified Mononegavirus,,,,,,,,,,
AJG39225,ORF2 ,Xincheng Mosquito Virus,437,unclassified Mononegavirus,,,,,,,,,,
AJG39226,glycoprotein ,Xincheng Mosquito Virus,648,unclassified Mononegavirus,,,,,,,,,,
AJG39227,RNA-dependent RNA polymerase ,Xincheng Mosquito Virus,2026,unclassified Mononegavirus,,,,,,,,,,
AJG39097,"PB1, partial ",Wuchang Cockroach Virus 2,368,unclassified Orthomyxovirus,,,,,,,,,,
AJG39108,"RNA-dependent RNA polymerase, partial ",Jingshan Fly Virus 2,2248,unclassified Rhabdovirus,,,,,,,,,,
AJG39116,nucleocapsid ,Sanxia Water Strider Virus 5,439,unclassified Rhabdovirus,,,,,,,,,,
AJG39117,ORF2 ,Sanxia Water Strider Virus 5,339,unclassified Rhabdovirus,,,,,,,,,,
AJG39118,ORF3 ,Sanxia Water Strider Virus 5,250,unclassified Rhabdovirus,,,,,,,,,,
AJG39119,glycoprotein ,Sanxia Water Strider Virus 5,625,unclassified Rhabdovirus,,,,,,,,,,
AJG39120,RNA-dependent RNA polymerase ,Sanxia Water Strider Virus 5,2264,unclassified Rhabdovirus,,,,,,,,,,
AJG39127,ORF1 ,Shayang Fly Virus 3,484,unclassified Rhabdovirus,,,,,,,,,,
AJG39128,ORF2 ,Shayang Fly Virus 3,399,unclassified Rhabdovirus,,,,,,,,,,
AJG39129,ORF3 ,Shayang Fly Virus 3,325,unclassified Rhabdovirus,,,,,,,,,,
AJG39130,glycoprotein ,Shayang Fly Virus 3,643,unclassified Rhabdovirus,,,,,,,,,,
AJG39131,RNA-dependent RNA polymerase ,Shayang Fly Virus 3,2231,unclassified Rhabdovirus,,,,,,,,,,
AJG39132,ORF1 ,Shuangao Bedbug Virus 2,272,unclassified Rhabdovirus,,,,,,,,,,
AJG39133,glycoprotein ,Shuangao Bedbug Virus 2,639,unclassified Rhabdovirus,,,,,,,,,,
AJG39134,RNA-dependent RNA polymerase ,Shuangao Bedbug Virus 2,2207,unclassified Rhabdovirus,,,,,,,,,,
AJG39136,"RNA-dependent RNA polymerase, partial ",Shuangao Insect Virus 6,2085,unclassified Rhabdovirus,,,,,,,,,,
AJG39143,ORF1 ,Tacheng Tick Virus 7,460,unclassified Rhabdovirus,,,,,,,,,,
AJG39144,ORF2 ,Tacheng Tick Virus 7,441,unclassified Rhabdovirus,,,,,,,,,,
AJG39145,ORF3 ,Tacheng Tick Virus 7,212,unclassified Rhabdovirus,,,,,,,,,,
AJG39146,ORF4 ,Tacheng Tick Virus 7,341,unclassified Rhabdovirus,,,,,,,,,,
AJG39147,glycoprotein ,Tacheng Tick Virus 7,740,unclassified Rhabdovirus,,,,,,,,,,
AJG39148,RNA-dependent RNA polymerase ,Tacheng Tick Virus 7,2215,unclassified Rhabdovirus,,,,,,,,,,
AJG39155,RNA-dependent RNA polymerase ,Wuhan Ant Virus,2118,unclassified Rhabdovirus,,,,,,,,,,
AJG39162,RNA-dependent RNA polymerase ,Wuhan Fly Virus 3,2230,unclassified Rhabdovirus,,,,,,,,,,
AJG39169,ORF1 ,Wuhan House Fly Virus 2,488,unclassified Rhabdovirus,,,,,,,,,,
AJG39170,ORF2 ,Wuhan House Fly Virus 2,385,unclassified Rhabdovirus,,,,,,,,,,
AJG39171,ORF3 ,Wuhan House Fly Virus 2,275,unclassified Rhabdovirus,,,,,,,,,,
AJG39172,glycoprotein ,Wuhan House Fly Virus 2,650,unclassified Rhabdovirus,,,,,,,,,,
AJG39173,RNA-dependent RNA polymerase ,Wuhan House Fly Virus 2,2233,unclassified Rhabdovirus,,,,,,,,,,
AJG39214,ORF1 ,Wuhan Mosquito Virus 9,279,unclassified Rhabdovirus,,,,,,,,,,
AJG39215,ORF2 ,Wuhan Mosquito Virus 9,526,unclassified Rhabdovirus,,,,,,,,,,
AJG39216,ORF3 ,Wuhan Mosquito Virus 9,269,unclassified Rhabdovirus,,,,,,,,,,
AJG39217,glycoprotein ,Wuhan Mosquito Virus 9,614,unclassified Rhabdovirus,,,,,,,,,,
AJG39218,RNA-dependent RNA polymerase ,Wuhan Mosquito Virus 9,1727,unclassified Rhabdovirus,,,,,,,,,,
AJG39219,RNA-dependent RNA polymerase ,Wuhan Mosquito Virus 9,521,unclassified Rhabdovirus,,,,,,,,,,
AJG39240,RNA-dependent RNA polymerase ,Jiangxia Mosquito Virus 1,1862,unclassified segmented virus,,,,,,,,,,
AJG39278,"glycoprotein precursor, partial ",Jiangxia Mosquito Virus 1,972,unclassified segmented virus,,,,,,,,,,
AJG39241,RNA-dependent RNA polymerase ,Jiangxia Mosquito Virus 2,1860,unclassified segmented virus,,,,,,,,,,
AJG39279,"glycoprotein precursor, partial ",Jiangxia Mosquito Virus 2,715,unclassified segmented virus,,,,,,,,,,
AJG39245,RNA-dependent RNA polymerase ,Sanxia Water Strider Virus 2,2344,unclassified segmented virus,,,,,,,,,,
AJG39247,RNA-dependent RNA polymerase ,Shayang Spider Virus 2,2165,unclassified segmented virus,,,,,,,,,,
AJG39248,RNA-dependent RNA polymerase ,Shuangao Bedbug Virus 1,1983,unclassified segmented virus,,,,,,,,,,
AJG39283,glycoprotein precursor ,Shuangao Bedbug Virus 1,1026,unclassified segmented virus,,,,,,,,,,
AJG39252,"RNA-dependent RNA polymerase, partial ",Shuangao Mosquito Virus,1996,unclassified segmented virus,,,,,,,,,,
AJG39257,RNA-dependent RNA polymerase ,Whenzhou Shrimp Virus 2,2241,unclassified segmented virus,,,,,,,,,,
AJG39290,glycoprotein precursor ,Whenzhou Shrimp Virus 2,725,unclassified segmented virus,,,,,,,,,,
AJG39262,RNA-dependent RNA polymerase ,Wuhan Insect virus 2,2369,unclassified segmented virus,,,,,,,,,,
AJG39294,"glycoprotein precursor, partial ",Wuhan Insect virus 2,946,unclassified segmented virus,,,,,,,,,,
AJG39324,nucleocapsid protein ,Wuhan Insect virus 2,485,unclassified segmented virus,,,,,,,,,,
AJG39263,RNA-dependent RNA polymerase ,Wuhan Insect virus 3,2187,unclassified segmented virus,,,,,,,,,,
AJG39325,nucleocapsid protein ,Wuhan Insect virus 3,479,unclassified segmented virus,,,,,,,,,,
AJG39266,RNA-dependent RNA polymerase ,Wuhan Millipede Virus 2,3702,unclassified segmented virus,,,,,,,,,,
AJG39329,nucleocapsid protein ,Wuhan Millipede Virus 2,479,unclassified segmented virus,,,,,,,,,,
AJG39213,RNA-dependent RNA polymerase ,Wuhan Louse Fly Virus 11,2110,Vesiculovirus-like,,,,,,,,,,
,,,,,,,,,,,,,,
"Cook, S., et al. (2013). ""Novel virus discovery and genome reconstruction from field RNA samples reveals highly divergent viruses in dipteran hosts."" PLoS One 8(11): e80720.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GenBank Accession,Protein description,Virus of origin,Sequence Length (amino acids),Taxonomy,,,,,,,,,,
AGW51750,hypothetical protein ,Anopheline-associated C virus,836,Viruses; unclassified viruses,,,,,,,,,,
AGW51751,hypothetical protein ,Anopheline-associated C virus,345,Viruses; unclassified viruses,,,,,,,,,,
AGW51752,RNA-dependent RNA polymerase-like protein ,Anopheline-associated C virus,1174,Viruses; unclassified viruses,,,,,,,,,,
AGW51753,hypothetical protein ,Anopheline-associated C virus,596,Viruses; unclassified viruses,,,,,,,,,,
AGW51754,hypothetical protein ,Anopheline-associated C virus,173,Viruses; unclassified viruses,,,,,,,,,,
AGW51755,"RNA-dependent RNA polymerase-like protein, partial ",uncultured virus,1445,Viruses; environmental samples,,,,,,,,,,
AGW51756,"polyprotein, partial ",uncultured virus,2188,Viruses; environmental samples,,,,,,,,,,
AGW51757,hypothetical protein ,uncultured virus,1353,Viruses; environmental samples,,,,,,,,,,
AGW51758,"hypothetical protein, partial ",uncultured virus,1373,Viruses; environmental samples,,,,,,,,,,
AGW51759,RNA-dependent RNA polymerase-like protein ,uncultured virus,473,Viruses; environmental samples,,,,,,,,,,
AGW51760,RNA-dependent RNA polymerase-like protein ,Mitovirus AEF-2013,670,Narnaviridae; Mitovirus; unclassified Mitovirus,,,,,,,,,,
AGW51761,pVP2-VP4-VP3 polyprotein ,Culicine-associated Z virus,1057,Viruses; unclassified viruses,,,,,,,,,,
AGW51762,pVP2-VP4N-X polyprotein ,Culicine-associated Z virus,868,Viruses; unclassified viruses,,,,,,,,,,
AGW51763,VP1/RdRp ,Culicine-associated Z virus,998,Viruses; unclassified viruses,,,,,,,,,,
AGW51764,"truncated putative RNA-dependent RNA polymerase-like protein, partial ",uncultured virus,802,Viruses; environmental samples,,,,,,,,,,
AGW51765,RNA-dependent RNA polymerase-like protein ,uncultured virus,2429,Viruses; environmental samples,,,,,,,,,,
AGW51766,"putative RNA-dependent RNA polymerase-like protein, partial ",uncultured virus,847,Viruses; environmental samples,,,,,,,,,,
AGW51767,"hypothetical protein, partial ",uncultured virus,847,Viruses; environmental samples,,,,,,,,,,
AGW51768,"putative RNA-dependent RNA polymerase-like protein, partial ",uncultured virus,1022,Viruses; environmental samples,,,,,,,,,,
AGW51769,"hypothetical protein, partial ",uncultured virus,1009,Viruses; environmental samples,,,,,,,,,,
AGW51770,hypothetical protein ,uncultured virus,879,Viruses; environmental samples,,,,,,,,,,
AGW51771,putative RNA-dependent RNA polymerase-like protein ,uncultured virus,1897,Viruses; environmental samples,,,,,,,,,,
AGW51772,hypothetical protein ,Anopheline-associated C virus,836,Viruses; unclassified viruses,,,,,,,,,,
AGW51773,hypothetical protein ,Anopheline-associated C virus,345,Viruses; unclassified viruses,,,,,,,,,,
AGW51774,RNA-dependent RNA polymerase-like protein ,Anopheline-associated C virus,1174,Viruses; unclassified viruses,,,,,,,,,,
AGW51775,hypothetical protein ,Anopheline-associated C virus,596,Viruses; unclassified viruses,,,,,,,,,,
AGW51776,hypothetical protein ,Anopheline-associated C virus,173,Viruses; unclassified viruses,,,,,,,,,,
AGW51777,RNA-dependent RNA polymerase-like protein ,uncultured virus,473,Viruses; environmental samples,,,,,,,,,,
AGW51778,RNA-dependent RNA polymerase-like protein ,Mitovirus AEF-2013,670,Narnaviridae; Mitovirus; unclassified Mitovirus,,,,,,,,,,
AGW51779,"pVP2-VP4-VP3 polyprotein, partial ",Culicine-associated Z virus,1049,Viruses; unclassified viruses,,,,,,,,,,
AGW51780,"pVP2-VP4N-X polyprotein, partial ",Culicine-associated Z virus,862,Viruses; unclassified viruses,,,,,,,,,,
AGW51781,VP1/RdRp ,Culicine-associated Z virus,998,Viruses; unclassified viruses,,,,,,,,,,
AGW51782,"putative RNA-dependent RNA polymerase-like protein, partial ",uncultured virus,904,Viruses; environmental samples,,,,,,,,,,
AGW51783,"hypothetical protein, partial ",uncultured virus,906,Viruses; environmental samples,,,,,,,,,,
YP_009011225,RNA-dependent RNA polymerase-like protein ,Anopheline-associated C virus,1174,Viruses; unclassified viruses,,,,,,,,,,
YP_009011226,hypothetical protein ,Anopheline-associated C virus,836,Viruses; unclassified viruses,,,,,,,,,,
YP_009011227,hypothetical protein ,Anopheline-associated C virus,345,Viruses; unclassified viruses,,,,,,,,,,
YP_009011228,hypothetical protein ,Anopheline-associated C virus,596,Viruses; unclassified viruses,,,,,,,,,,
YP_009011229,hypothetical protein ,Anopheline-associated C virus,173,Viruses; unclassified viruses,,,,,,,,,,
,,,,,,,,,,,,,,
"Chandler, J. A., et al. (2015). ""RNA shotgun metagenomic sequencing of northern California (USA) mosquitoes uncovers viruses, bacteria, and fungi."" Frontiers in Microbiology 6; article 185",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GenBank Accession,Protein description,Virus of origin,Sequence Length (amino acids),Taxonomy,,,,,,,,,,
AJT39579,"PArp-RdRp, partial ",dsRNA virus environmental sample,1070,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39580,proline-alanine-rich protein ,dsRNA virus environmental sample,975,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39581,"PArp-RdRp, partial ",dsRNA virus environmental sample,1038,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39582,proline-alanine-rich protein ,dsRNA virus environmental sample,1031,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39583,"PArp-RdRp, partial ",dsRNA virus environmental sample,1044,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39584,proline-alanine-rich protein ,dsRNA virus environmental sample,1012,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39585,"PArp-RdRp, partial ",dsRNA virus environmental sample,1079,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39586,proline-alanine-rich protein ,dsRNA virus environmental sample,975,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39587,"PArp-RdRp, partial ",dsRNA virus environmental sample,816,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39588,"proline-alanine-rich protein, partial ",dsRNA virus environmental sample,411,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39589,"PArp-RdRp, partial ",dsRNA virus environmental sample,934,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39590,"proline-alanine-rich protein, partial ",dsRNA virus environmental sample,144,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39591,"glycoprotein, partial ",Rhabdoviridae environmental sample,160,Mononegavirales; Rhabdoviridae; environmental samples,,,,,,,,,,
AJT39592,"nucleocapsid protein, partial ",Rhabdoviridae environmental sample,123,Mononegavirales; Rhabdoviridae; environmental samples,,,,,,,,,,
AJT39593,nucleocapsid protein ,Rhabdoviridae environmental sample,408,Mononegavirales; Rhabdoviridae; environmental samples,,,,,,,,,,
AJT39594,RNA-dependent RNA polymerase ,Bunyaviridae environmental sample,2435,Bunyaviridae; environmental samples,,,,,,,,,,
AJT39595,RNA-dependent RNA polymerase ,Bunyaviridae environmental sample,2371,Bunyaviridae; environmental samples,,,,,,,,,,
AJT39596,RNA-dependent RNA polymerase ,Narnaviridae environmental sample,1006,Narnaviridae; environmental samples,,,,,,,,,,
AJT39597,RNA-dependent RNA polymerase ,Narnaviridae environmental sample,1027,Narnaviridae; environmental samples,,,,,,,,,,
AJT39598,"RNA-dependent RNA polymerase, partial ",dsRNA virus environmental sample,291,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
AJT39599,"RNA-dependent RNA polymerase, partial ",dsRNA virus environmental sample,245,Viruses; dsRNA viruses; environmental samples,,,,,,,,,,
,,,,,,,,,,,,,,
"Shi, M., et al. (2016). ""Redefining the invertebrate RNA virosphere."" Nature.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GenBank Accession,Protein description,Virus of origin,Sequence Length (amino acids),Taxonomy,,,,,,,,,,
KJ001579,Jingmen Tick Virus isolate SY84 segment 1,Jingmen tick virus,1038,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,
KJ001580,Jingmen Tick Virus isolate SY84 segment 2,Jingmen tick virus,949,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,
KJ001581,Jingmen Tick Virus isolate SY84 segment 3,Jingmen tick virus,941,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,
KJ001582,Jingmen Tick Virus isolate SY84 segment 4,Jingmen tick virus,931,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,
KM817593,Bole Tick Virus 3 strain BL199complete genome,Bole Tick Virus 3,3727,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817594,Changping Tick Virus 2 strain CP1-4complete genome,Changping Tick Virus 2,3625,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817595,Changping Tick Virus 3 strain CP1-3complete genome,Changping Tick Virus 3,3175,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817596,Lishi Spider Virus 1 strain LSZZ11 segment 2,Lishi Spider Virus 1,1475,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817597,Lishi Spider Virus 1 strain LSZZ11 segment 1,Lishi Spider Virus 1,2350,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817598,Shayang Fly Virus 1 strain SYY3-1 glycoprotein (G)putative nucleoprotein (N)and polymerase (L)s,Shayang Fly Virus 1,4577,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817599,Tacheng Tick Virus 4 strain TCRP-1complete genome,Tacheng Tick Virus 4,3605,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817600,Tacheng Tick Virus 5 strain TC254complete genome,Tacheng Tick Virus 5,3339,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817601,Wenzhou Crab Virus 2 strain ZCX13 segment 1,Wenzhou Crab Virus 2,2319,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817602,Wenzhou Crab Virus 2 strain ZCX13 segment 2,Wenzhou Crab Virus 2,1566,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817603,Wenzhou Crab Virus 3 strain RBX9 glycoprotein (G1)putative nucleoprotein (N)glycoprotein (G2)and polymerase (L)s,Wenzhou Crab Virus 3,4286,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817604,Wuchang Cockraoch Virus 3 strain WCZL-1 segment 1,Wuchang Cockroach Virus 3,2384,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817605,Wuchang Cockraoch Virus 3 strain WCZL-1 segment 2,Wuchang Cockroach Virus 3,1596,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817606,Wuhan Louse Fly Virus 6 strain BFJSC-2 segment 1,Wuhan Louse Fly Virus 6,2259,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817607,Wuhan Louse Fly Virus 6 strain BFJSC-2 segment 2,Wuhan Louse Fly Virus 6,763,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817608,Wuhan Louse Fly Virus 7 strain BFJSC-3 segment 2,Wuhan Louse Fly Virus 7,781,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817609,Wuhan Louse Fly Virus 7 strain BFJSC-3 segment 1,Wuhan Louse Fly Virus 7,2269,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817610,"Wuhan Mosquito Virus 8 strain XC2-7, complete genome",Wuhan Mosquito Virus 8,4001,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817611,"Wuhan Tick Virus 2 strain X78-1, complete genome",Wuhan Tick Virus 2,3798,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817612,"Shuangao Fly Virus 1 strain QSA06-1 polymerase; and polymerase, partial cds",Shuangao Fly Virus 1,1882,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817613,Shuangao Lacewing Virus strain QSA01 polymerase (L),Shuangao Lacewing Virus,2238,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817614,Shuangao Insect Virus 5 strain QSA09 polymerase (L),Shuangao Insect Virus 5,2886,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817615,Jingshan Fly Virus 1 strain SYY1-7 PB1 (PB1),Jingshan Fly Virus 1,808,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817616,Jiujie Fly Virus strain JJ3-6 PB1 (PB1),Jiujie Fly Virus,793,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817617,Sanxia Water Strider Virus 3 strain SXSSP01 PB1 (PB1),Sanxia Water Strider Virus 3,803,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817618,Shayang Spider Virus 3 strain SYZZ-5 PB1 (PB1),Shayang Spider Virus 3,774,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817619,Shuangao Insect Virus 4 strain QSA07-1 PB1 (PB1),Shuangao Insect Virus 4,819,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817620,Wuhan Louse Fly Virus 3 strain BFJSC-1 PB1 (PB1),Wuhan Louse Fly Virus 3,812,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817621,Wuhan Louse Fly Virus 4 strain BFJSC-4 PB1 (PB1),Wuhan Louse Fly Virus 4,829,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817622,Wuhan Mosquito Virus 3 strain XZ2-7 PB1 (PB1),Wuhan Mosquito Virus 3,819,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
